A-_---------n	ADJU
Pr_-s---fg--i	gen.sing
Pr_-s---fn--i	nom.sing
Pr_-s---ma--i	acc.sing
Pr_-s---md--i	dat.sing
Pr_-s---mg--i	gen.sing
Pr_-s---mn--i	nom.sing
Pr_-s---na--i	acc.sing
Pr_-s---nd--i	dat.sing
Pr_-s---ng--i	gen.sing
Pr_-s---nn--i	nom.sing
Pr_-s---oa--i	acc.sing
Pr_-s---od--i	dat.sing
Pr_-s---og--i	gen.sing
Ps_1p---fa--i	ADJA-POS
Ps_1p---ma--i	ADJA-POS
Ps_1p---mn--i	ADJ-POS
Ps_1p---na--i	ADJA-POS
Ps_1p---nd--i	ADJD-POS
Ps_1p---ng--i	ADJ$-POS
Ps_1p---nn--i	ADJ-POS
Ps_1p---od--i	ADJD-POS
Ps_1s---fa--i	ADJA-POS
Ps_1s---fd--i	ADJD-POS
Ps_1s---fg--i	ADJ$-POS
Ps_1s---fn--i	ADJ-POS
Ps_1s---ma--i	ADJA-POS
Ps_1s---md--i	ADJD-POS
Ps_1s---mn--i	ADJ-POS
Ps_1s---na--i	ADJA-POS
Ps_1s---ng--i	ADJ$-POS
Ps_1s---nn--i	ADJ-POS
Ps_1s---oa--i	ADJA-POS
Ps_1s---od--i	ADJD-POS
Ps_1s---og--i	ADJ$-POS
Ps_2p---ma--i	ADJA-POS
Ps_2p---mn--i	ADJ-POS
Ps_2p---na--i	ADJA-POS
Ps_2p---nn--i	ADJ-POS
Ps_2s---fa--i	ADJA-POS
Ps_2s---fd--i	ADJD-POS
Ps_2s---fg--i	ADJ$-POS
Ps_2s---fn--i	ADJ-POS
Ps_2s---ma--i	ADJA-POS
Ps_2s---md--i	ADJD-POS
Ps_2s---mg--i	ADJ$-POS
Ps_2s---mn--i	ADJ-POS
Ps_2s---na--i	ADJA-POS
Ps_2s---nd--i	ADJD-POS
Ps_2s---nn--i	ADJ-POS
Ps_2s---oa--i	ADJA-POS
Ps_3s---fd--i	ADJD-POS
Px_-p---fa--i	acc.pl
Px_-p---fd--i	dat.pl
Px_-p---fg--i	gen.pl
Px_-p---fn--i	nom.pl
Px_-p---ma--i	acc.pl
Px_-p---md--i	dat.pl
Px_-p---mg--i	gen.pl
Px_-p---mn--i	nom.pl
Px_-p---mv--i	nom.pl
Px_-p---na--i	acc.pl
Px_-p---nd--i	dat.pl
Px_-p---ng--i	gen.pl
Px_-p---nn--i	nom.pl
Px_-p---od--i	dat.pl
Px_-p---og--i	gen.pl
Px_-p---pa--i	acc.pl
Px_-p---pd--i	dat.pl
Px_-p---pg--i	gen.pl
Px_-p---pn--i	nom.pl
Px_-p---qg--i	gen.pl
Px_-s---fa--i	acc.sing
Px_-s---fd--i	dat.sing
Px_-s---fg--i	gen.sing
Px_-s---fn--i	nom.sing
Px_-s---ma--i	acc.sing
Px_-s---md--i	dat.sing
Px_-s---mg--i	gen.sing
Px_-s---mn--i	nom.sing
Px_-s---na--i	acc.sing
Px_-s---nd--i	dat.sing
Px_-s---ng--i	gen.sing
Px_-s---nn--i	nom.sing
Px_-s---od--i	dat.sing
Px_-s---og--i	gen.sing
Px_-s---pa--i	acc.sing
Px_-s---pd--i	dat.sing
Px_-s---pg--i	gen.sing
Px_-s---pn--i	nom.sing
Px_-s---qd--i	dat.sing
R-_---------n	P
S-_-p---fa--i	DSA
S-_-p---fd--i	DSD
S-_-p---fg--i	DS$
S-_-p---fn--i	DS
S-_-p---ma--i	DSA
S-_-p---md--i	DSD
S-_-p---mg--i	DS$
S-_-p---mn--i	DS
S-_-p---na--i	DSA
S-_-p---nd--i	DSD
S-_-p---ng--i	DS$
S-_-p---nn--i	DS
S-_-p---od--i	DSD
S-_-p---qg--i	DS$
S-_-s---fa--i	DA
S-_-s---fd--i	DD
S-_-s---fg--i	D$
S-_-s---fn--i	D
S-_-s---ma--i	DA
S-_-s---md--i	DD
S-_-s---mg--i	D$
S-_-s---mn--i	D
S-_-s---na--i	DA
S-_-s---nd--i	DD
S-_-s---ng--i	D$
S-_-s---nn--i	D
S-_-s---nv--i	D
S-_-s---od--i	DD
S-_-s---og--i	D$
V-_--ana----i	VBN-AOR
V-_--anm----i	VBNP-AOR
V-_--anp----i	VBNP-AOR
V-_--fnm----i	VBNP-FUT
V-_--pna----i	VBN-IMPF
V-_--pne----i	VBNP-IMPF
V-_--pnm----i	VBNP-IMPF
V-_--pnp----i	VBNP-IMPF
V-_--rna----i	VBN-PRF
V-_--rnp----i	VBNP-PRF
V-_-papafn--i	VPR-AOR
V-_-papama--i	VPRA-AOR
V-_-papamd--i	VPRD-AOR
V-_-papamg--i	VPR$-AOR
V-_-papamn--i	VPR-AOR
V-_-papana--i	VPRA-AOR
V-_-papann--i	VPR-AOR
